E1-1,213.184.214.0/27,2a0b:5102:0:201::/64,Dist01,ge-0/0/0,201
E1-2,213.184.214.32/27,2a0b:5102:0:202::/64,Dist01,ge-0/0/1,202
E1-3,213.184.214.64/27,2a0b:5102:0:203::/64,Dist01,ge-0/0/2,203
E1-4,213.184.214.96/27,2a0b:5102:0:204::/64,Dist01,ge-0/0/3,204
E1-5,213.184.214.128/27,2a0b:5102:0:205::/64,Dist01,ge-0/0/4,205
E1-6,213.184.214.160/27,2a0b:5102:0:206::/64,Dist01,ge-0/0/5,206
E1-7,213.184.214.192/27,2a0b:5102:0:207::/64,Dist01,ge-0/0/6,207
E1-8,213.184.214.224/27,2a0b:5102:0:208::/64,Dist01,ge-0/0/7,208
E1-9,213.184.215.0/27,2a0b:5102:0:209::/64,Dist01,ge-0/0/8,209
E1-10,213.184.215.32/27,2a0b:5102:0:210::/64,Dist01,ge-0/0/9,210
E1-11,213.184.215.64/27,2a0b:5102:0:211::/64,Dist01,ge-0/0/10,211
E1-12,213.184.215.96/27,2a0b:5102:0:212::/64,Dist01,ge-0/0/11,212
E2-1,213.184.215.128/27,2a0b:5102:0:213::/64,Dist02,ge-0/0/0,213
E2-2,213.184.215.160/27,2a0b:5102:0:214::/64,Dist02,ge-0/0/1,214,
E2-3,213.184.215.192/27,2a0b:5102:0:215::/64,Dist02,ge-0/0/2,215
E2-4,213.184.215.224/27,2a0b:5102:0:216::/64,Dist02,ge-0/0/3,216
